"商品ｺｰﾄﾞ","商品名","原価","取扱区分","商品区分","型番","金額","受注数","引当数","欠品数","在庫数"
"25370000","BBシルバーデリケート【コロンブス】","650","取扱中","通常","4971671174740","2200","2","2","0","3"
"70630000","ジャーマンブラシ3【コロンブス】","520","取扱中","通常","4971671171640","1760","2","2","0","3"
"74030000","磨きクロス（2枚入り）【コロンブス】","325","取扱中","通常","4971671177369","550","1","1","0","4"
"GS2300302","ガーゼハンカチB【moritaMiW】ウサギと白詰草","430","取扱中","通常","","770","1","1","0","0"
"GS23010ORG","ガーゼパイルハンカチ【moritaMiW】オレンジ ネコと大きな街路樹","550","取扱中","通常","","990","1","1","0","0"
"RINO-FR001-X-BLK","ミニショルダーバッグ / ブラック【Rinori】","4843","取扱中","通常","4589901002727","30800","2","2","0","0"
"RINO-FR003-X-BLK","ミニ財布 / ブラック","2111","取扱中","通常","4589901003588","13420","2","2","0","3"
"RINO-FR003-X-GRY","ミニ財布 / グレー","2111","取扱中","通常","4589901003571","6710","1","1","0","2"
"RINO-FR010-X-BLK","ラフサークル型 ミニショルダーバッグ / ブラック","5179","取扱中","通常","4589901003915","88000","5","5","0","7"
"RINO-FR011-X-BLK","スマホショルダーストラップ / ブラック","1545","取扱中","通常","4589901004066","43560","9","9","0","0"
"RINO-FR011-X-GRY","スマホショルダーストラップ / グレージュ","1545","取扱中","通常","4589901004059 ","4840","1","1","0","17"
"RINO-FR012-X-BLK","ストラップに付けるマルチキーポーチ/ ブラック","1713","取扱中","通常","4589901004172","16170","3","3","0","1"
"RINO-FR013-X-BLK","ミニボストン","4443","取扱中","通常","4589901004356","107800","7","7","0","8"
"RINO-FR014-X-BLK","バケツバッグ","8316","取扱中","通常","4589901004363","25300","1","1","0","1"
"RINO-FR016-X-BLK","小さな長財布 / ブラック","3455","取扱中","通常","4589901004462","39600","3","3","0","3"
"RINO-FR017-X-BLK","フラップワイドトート","6959","取扱中","通常","4589901004479","49500","2","2","0","7"
"RINO-FR018-X-BLK","スクエアワンハンドルトート","5707","取扱中","通常","4589901004486","118800","6","6","0","0"
"RINO-FR019-X-BLK","デイリーボストン 中型 M（仮）","6600","取扱中","通常","4589901004493","94600","4","4","0","0"
"RINO-SY002-X-BLU","親子がま口財布  / ナイトブルー【Rinori】","1934","取扱中","通常","4589901000273","5720","1","1","0","5"
"RINO-SY007-X-BLU","横長親子がま口財布  / ナイトブルー【Rinori】","2705","取扱中","通常","4589901000556","11000","1","1","0","10"
"RINO-SY013-X-BRN","がま口アクセサリーケース / ブラウン【Rinori】","729","取扱中","通常","4589901001003","2860","1","1","0","9"
"RINO-SY013-X-CAM","がま口アクセサリーケース / キャメル【Rinori】","729","取扱中","通常","4589901000990","2860","1","1","0","12"
"RINO-SY013-X-ORG","がま口アクセサリーケース / オレンジ【Rinori】","729","取扱中","通常","4589901000983","2860","1","1","0","16"
"RINO-SY026-X-ORG","アクセサリーケース（中） / オレンジ","967","取扱中","通常","4589901002611","3630","1","1","0","0"
"RINO-SY035-X-BLK","サークル型アクセサリーケース / ブラック","1574","取扱中","通常","4589901004301","5500","1","1","0","0"
"RINO-SY036-X-BLK","片カンストラップ / ブラック","369","取扱中","通常","4589901004332","1485","1","1","0","0"
"RINOBG001L-M-BLK","がま口ワンハンドルバッグ【M / 中】/ ブラック","4723","取扱中","通常","4589901003892","34100","2","2","0","3"
"RINOBG001L-S-BLK","がま口ワンハンドルバッグ【小 / S】","4039","取扱中","通常","4589901004165","14850","1","1","0","3"
"RINOBG007L-F-BLK","【オプション】肩当て 肩パッド  / FRブラック","106","取扱中","通常","4589901004134","680","1","1","0","0"
"RINOBG008L-F-BLK","【オプション】引手 / ブラック","100","取扱中","通常","4589901004141","480","1","1","0","3"
"RINOBG009L-Y-BLK","【YOEPコラボ】横長ショルダー","4329","取扱中","通常","BG09BLKY","30800","2","2","0","3"
"RINOBG011L-P-BLK","リバーシブルトート（スエード＆リネン） / ブラック","3901","取扱中","通常","4589901004240","14850","1","1","0","2"
"RINOBG016FBLK","パラフィンあずまバッグ","3390","取扱中","通常","BG016FBLK","8910","1","1","0","7"
"RINODO002BLK","【amiroomコラボ】TOTONOUBAG （黒）","5838","取扱中","通常","4589901004530","74000","5","5","0","11"
"RINODO006BLK","【yoepコラボ】 mellow tote メロウトート（ソフラン）","10178","取扱中","通常","4589901004516","66000","2","2","0","0"
"RINODO007BLK","「暮らす」に寄り添う 外ポケット付きソフトレザー3waybag  aiさんmegさん","8622","取扱中","通常","4589901004554","89100","3","3","0","11"
"RINOGS001L-X-BLK","ミニ手鏡 ミラー","671","取扱中","通常","4589901004370","1980","1","1","0","1"
