（親）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B07W4B3RGM,日本製 Rinori がま口 アクセサリーケース 革 本革 携帯用 宝物はかわいいミニがま口に,"3,692",22,30.77%,30.56%,"4,725",27,29.78%,31.76%,99.86%,100.00%,91,0,2.46%,0.00%,"￥271,180",￥0,90,0
B01IP3V6TM,（EndMark） 日本製 革職人がつくる 本革 コインケース 袋タイプ,"2,641",22,22.01%,30.56%,"3,213",23,20.25%,27.06%,100.00%,100.00%,39,1,1.48%,4.55%,"￥96,720","￥2,480",39,1
B0716RTNBT,[リノリ] 日本製 がま口 小銭入れ 財布 革 レディース 親子がま口でお札や小銭もたっぷり収納上手,"1,368",15,11.40%,20.83%,"2,224",22,14.02%,25.88%,99.85%,100.00%,23,0,1.68%,0.00%,"￥114,540",￥0,23,0
B01MSALZYZ,[エンドマーク] 日本製 キーケース キーホルダー 革 本革 コンパクト メンズ 1本用 金具が特徴的,949,2,7.91%,2.78%,"1,288",2,8.12%,2.35%,100.00%,100.00%,16,0,1.69%,0.00%,"￥38,080",￥0,16,0
B0BK3WBKWS,[エンドマーク] 東京製 ボディバッグ メンズ 本革 革 堅牢なコーデュラとの異素材コラボ,"1,388",5,11.57%,6.94%,"1,879",5,11.84%,5.88%,100.00%,100.00%,11,0,0.79%,0.00%,"￥109,780",￥0,11,0
B079YJNDN2,日本製 (EndMark) 本革 ブックカバー 文庫本 新書本 四六判 鼻をくすぐる革の香りで優雅に読書時間,306,0,2.55%,0.00%,373,0,2.35%,0.00%,98.88%,0.00%,6,0,1.96%,0.00%,"￥26,380",￥0,6,0
B07CG7VWDQ,日本製 (EndMark) 本革 A5 B6 手帳カバー ノートカバー 軽量設計 手に馴染む優しい質感と革の香りが特徴な大人の手帳カバー,307,0,2.56%,0.00%,419,0,2.64%,0.00%,100.00%,0.00%,3,0,0.98%,0.00%,"￥15,140",￥0,3,0
B0BFRN738P,[リノリ] 日本製 がま口 財布 長財布 レディース 革 本革 スマホ※も入る気分はミニクラッチ風に早変わり,747,2,6.23%,2.78%,963,2,6.07%,2.35%,99.44%,100.00%,3,1,0.40%,50.00%,"￥29,344","￥8,384",3,1
B084S6M7BV,日本製 Rinori がま口 アクセサリーケース 革 収納 大切な宝物は持ち運びサイズの小型がま口へ,30,0,0.25%,0.00%,54,0,0.34%,0.00%,92.00%,0.00%,2,0,6.67%,0.00%,"￥7,760",￥0,2,0
B015FBGK84,（EndMark） 日本製 革職人がつくる 革 タバコケース 本革 シガレットケース ライター 収納,34,0,0.28%,0.00%,47,0,0.30%,0.00%,97.83%,0.00%,1,0,2.94%,0.00%,"￥4,280",￥0,1,0
