"商品ｺｰﾄﾞ","商品名","原価","取扱区分","商品区分","型番","金額","受注数","引当数","欠品数","在庫数"
"999999","その他","0","取扱中","通常","","0","3","3","0","901"
"RINO-FR001-X-BLK","ミニショルダーバッグ / ブラック【Rinori】","4843","取扱中","通常","4589901002727","69850","5","5","0","0"
"RINO-FR003-X-BLK","ミニ財布 / ブラック","2111","取扱中","通常","4589901003588","22880","4","4","0","7"
"RINO-FR004-X-BLK","ティッシュポーチ / ブラック","1583","取扱中","通常","4589901003618","4800","1","1","0","8"
"RINO-FR006-X-BLK","ショートストラップ / ブラック","499","取扱中","通常","4589901003670","3960","2","2","0","0"
"RINO-FR010-X-BLK","ラフサークル型 ミニショルダーバッグ / ブラック","5179","取扱中","通常","4589901003915","165000","10","10","0","8"
"RINO-FR011-X-BLK","スマホショルダーストラップ / ブラック","1545","取扱中","通常","4589901004066","13920","4","4","0","1"
"RINO-FR011-X-GRY","スマホショルダーストラップ / グレージュ","1545","取扱中","通常","4589901004059 ","6960","2","2","0","23"
"RINO-FR012-X-BLK","ストラップに付けるマルチキーポーチ/ ブラック","1713","取扱中","通常","4589901004172","14850","4","4","0","1"
"RINO-FR012-X-GRY","ストラップに付けるマルチキーポーチ / グレージュ","1713","取扱中","通常","4589901004189","9900","2","2","0","8"
"RINO-FR013-X-BLK","ミニボストン","4443","取扱中","通常","4589901004356","713900","55","55","0","1"
"RINO-SY002-X-BLK","親子がま口財布  / ブラック【Rinori】","2009","取扱中","通常","4589901003519","17160","3","3","0","0"
"RINO-SY010-X-CAM","がま口コインケース/ キャメル【Rinori】","1162","取扱中","通常","4589901000785","3300","1","1","0","2"
"RINO-SY013-X-ORG","がま口アクセサリーケース / オレンジ【Rinori】","729","取扱中","通常","4589901000983","5280","2","2","0","32"
"RINO-SY013-X-PMT","がま口アクセサリーケース / ペパーミントグリーン【Rinori】","729","取扱中","通常","4589901001393","5280","2","2","0","19"
"RINO-SY013-X-RED","がま口アクセサリーケース / レッド【Rinori】","729","取扱中","通常","4589901001027","2640","1","1","0","4"
"RINOBG001L-M-BLK","がま口ワンハンドルバッグ【M / 中】/ ブラック","4723","取扱中","通常","4589901003892","205920","13","13","0","0"
"RINOBG001L-S-BLK","がま口ワンハンドルバッグ【小 / S】","4039","取扱中","通常","4589901004165","24420","2","2","0","5"
"RINOBG005M-N-GRY","【ニョロニョロ】ポケット代わりのミニポシェット  / ラセッテー グレー","3195","取扱中","通常","","7920","1","1","0","1"
"RINOBG006L-P-BLK","防水巾着  / ブラック","3257","取扱中","通常","4589901004127","35640","4","4","0","1"
"RINOBG007L-F-BLK","【オプション】肩当て 肩パッド  / FRブラック","106","取扱中","通常","4589901004134","680","1","1","0","0"
"RINOBG008L-F-BLK","【オプション】引手 / ブラック","100","取扱中","通常","4589901004141","960","2","2","0","0"
"RINOBG011L-P-BLK","リバーシブルトート（スエード＆リネン） / ブラック","3901","取扱中","通常","4589901004240","29700","2","2","0","0"
"RINOBG013F-X-BLK","タータンチェックトート / グレー×ブラック","1705","取扱中","通常","BG013FBLK","3960","1","1","0","0"
"RINODO003BLK","【yoepコラボ】ピリオドバッグ ","7863","取扱中","通常","DO03BLK","1362900","59","59","0","0"
"RINOGS001L-X-BLK","ミニ手鏡 ミラー","671","取扱中","通常","4589901004370","1980","1","1","0","1"
"RINOGS002F-X-GRY","トートバッグ（ワンハンドルM販促）","0","取扱中","通常","GS002F","0","4","4","0","42"
"RINOGS003E-X-WHY","（取り扱い終了）Whyteグッズ3点セット","671","取扱中","通常","","19800","12","12","0","0"
"RINOST007L-M-KNR","マウスパッド【ムーミン】","568","取扱中","通常","","1980","1","1","0","0"
"RINOST007L-N-KNR","マウスパッド【ニョロニョロ】","568","取扱中","通常","","1980","1","1","0","0"
