（親）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B07W4B3RGM,日本製 Rinori がま口 アクセサリーケース 革 本革 携帯用 宝物はかわいいミニがま口に,"3,805",25,28.92%,26.60%,"4,826",28,28.71%,23.93%,99.88%,100.00%,88,0,2.31%,0.00%,"￥262,240",￥0,87,0
B01IP3V6TM,（EndMark） 日本製 革職人がつくる 本革 コインケース 袋タイプ,"3,278",29,24.92%,30.85%,"3,986",33,23.71%,28.21%,100.00%,100.00%,37,0,1.13%,0.00%,"￥91,760",￥0,37,0
B01MSALZYZ,[エンドマーク] 日本製 キーケース キーホルダー 革 本革 コンパクト メンズ 1本用 金具が特徴的,"1,030",10,7.83%,10.64%,"1,280",11,7.61%,9.40%,99.92%,100.00%,15,0,1.46%,0.00%,"￥35,700",￥0,15,0
B0BK3WBKWS,[エンドマーク] 東京製 ボディバッグ メンズ 本革 革 堅牢なコーデュラとの異素材コラボ,"1,374",7,10.44%,7.45%,"1,928",9,11.47%,7.69%,99.83%,100.00%,12,1,0.87%,14.29%,"￥119,760","￥9,980",12,1
B0716RTNBT,[リノリ] 日本製 がま口 小銭入れ 財布 革 レディース 親子がま口でお札や小銭もたっぷり収納上手,"1,522",7,11.57%,7.45%,"2,058",16,12.24%,13.68%,94.57%,100.00%,8,0,0.53%,0.00%,"￥42,800",￥0,8,0
B0BFRN738P,[リノリ] 日本製 がま口 財布 長財布 レディース 革 本革 スマホ※も入る気分はミニクラッチ風に早変わり,550,3,4.18%,3.19%,676,6,4.02%,5.13%,99.52%,100.00%,5,1,0.91%,33.33%,"￥53,960","￥11,000",5,1
B07CG7VWDQ,日本製 (EndMark) 本革 A5 B6 手帳カバー ノートカバー 軽量設計 手に馴染む優しい質感と革の香りが特徴な大人の手帳カバー,352,2,2.68%,2.13%,438,2,2.61%,1.71%,100.00%,100.00%,4,0,1.14%,0.00%,"￥19,520",￥0,4,0
B07CCYVCDD,日本製 (EndMark) 本革 B5 ノートカバー デイリー使いの強い味方,207,2,1.57%,2.13%,261,2,1.55%,1.71%,99.21%,100.00%,3,0,1.45%,0.00%,"￥20,940",￥0,3,0
B084S6M7BV,日本製 Rinori がま口 アクセサリーケース 革 収納 大切な宝物は持ち運びサイズの小型がま口へ,89,0,0.68%,0.00%,147,0,0.87%,0.00%,98.51%,0.00%,3,0,3.37%,0.00%,"￥11,640",￥0,3,0
B01N4EICQ4,エンドマーク ペンケース 革 おしゃれ スリム 筆箱 日本製,31,0,0.24%,0.00%,43,0,0.26%,0.00%,100.00%,0.00%,2,0,6.45%,0.00%,"￥6,960",￥0,2,0
B01N5F7M36,エンドマーク システム手帳 本革 バイブル ペンホルダー付,39,0,0.30%,0.00%,51,0,0.30%,0.00%,100.00%,0.00%,2,0,5.13%,0.00%,"￥19,960",￥0,2,0
B079YJNDN2,日本製 (EndMark) 本革 ブックカバー 文庫本 新書本 四六判 鼻をくすぐる革の香りで優雅に読書時間,353,0,2.68%,0.00%,440,0,2.62%,0.00%,100.00%,0.00%,2,0,0.57%,0.00%,"￥7,660",￥0,2,0
B01MYFCJSH,エンドマーク 印鑑ケース 印鑑ホルダー 日本製 革,43,0,0.33%,0.00%,50,0,0.30%,0.00%,100.00%,0.00%,1,0,2.33%,0.00%,"￥2,680",￥0,1,0
B073XJ8GT6,エンドマーク ペンケース 本革 大容量 シンプル メンズ 日本製,6,0,0.05%,0.00%,9,0,0.05%,0.00%,100.00%,0.00%,1,0,16.67%,0.00%,"￥5,980",￥0,1,0
B0744JZDNX,エンドマーク ペンケース 日本製 革 軽量薄型,129,0,0.98%,0.00%,178,0,1.06%,0.00%,99.41%,0.00%,1,0,0.78%,0.00%,"￥2,384",￥0,1,0
B012JW6VBS,(EndMark) 日本製 革職人がつくる 本革 idカードホルダー idケース 革 リール,99,0,0.75%,0.00%,125,0,0.74%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01I2WLSBW,[エンドマーク] 日本製 革職人がつくる 本革 薄型 単パスケース 定期入れ 2ポケット,110,2,0.84%,2.13%,149,2,0.89%,1.71%,98.50%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01N23YRNF,[エンドマーク] メガネケース 眼鏡ケース おしゃれ メンズ レディース 革 日本製,4,0,0.03%,0.00%,4,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0743GHNRG,エンドマーク 印鑑マット,37,7,0.28%,7.45%,45,8,0.27%,6.84%,100.00%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B078S4CB9Z,[エンドマーク] 日本製 メガネケース 革 メンズ 手に馴染む柔らかな質感と革艶の経年変化が楽しめる大人の眼鏡入れ,1,0,0.01%,0.00%,1,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B079JXFQQY,[エンドマーク] 日本製 メガネケース 革 首や鞄にぶらさげて「サッ」と使う眼鏡入れ,12,0,0.09%,0.00%,13,0,0.08%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B07D49KMWG,[リノリ] 日本製 がま口 財布 小銭入れ レディース 革 かわいい ストラップ穴 程よくポケットサイズで手ごろな存在はいつでもどこでも一緒,85,0,0.65%,0.00%,103,0,0.61%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
